CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
13;Monday;2026-06-29;08:45:00;ABC Laguna Bucuresti Negru;ACS Ingerasii din Banie Craiova;Terenul BT;0-0;
12;Monday;2026-06-29;08:45:00;ACS Bedene Baschet Valenii de Munte;A Solaris Sporting Club Ploiesti 2;Terenul Brenntag;0-0;
15;Monday;2026-06-29;08:45:00;ACS Templiers Academy Galati 1;ASBC Fan Baschet Otopeni Galben;Terenul Paula;0-0;
14;Monday;2026-06-29;08:45:00;ACS Baller Bucuresti 1;ACS Dan Dacian Bucuresti Verde;Terenul 2 Schitu;0-0;
11;Monday;2026-06-29;08:45:00;ACS Mambra Sport Timisoara;CS Magic Champions Bucuresti Albastru;Terenul FRB;0-0;
14;Monday;2026-06-29;08:45:00;ACS AS 30 Bucuresti;ACS Dan Dacian Bucuresti Rosu;Terenul 1 Schitu;0-0;
17;Monday;2026-06-29;08:45:00;CSS Nr 6 Bucuresti 2;ACS U-BT Cluj-Napoca Mov;Terenul Mera Resort;0-0;
16;Monday;2026-06-29;08:45:00;CSS Sighetu Marmatiei;ACS Phoenix Suceava;Terenul 1;0-0;
15;Monday;2026-06-29;08:45:00;CN Teodor Nes Salonta;CS Otopeni;Terenul Lino;0-0;
15;Monday;2026-06-29;09:45:00;ACS Primo Mega Ball Pitesti 1;ACS U-BT Cluj-Napoca Alb;Terenul Exim Banca Romaneasca;0-0;
13;Monday;2026-06-29;09:45:00;ACS Dan Dacian Bucuresti Portocaliu;CSS Targoviste;Terenul CloudPerform;0-0;
14;Monday;2026-06-29;09:45:00;ACS Baschet Team Giurgiu;ACS Cormoran Constanta Smarald;Terenul Brenntag;0-0;
14;Monday;2026-06-29;09:45:00;ACS Baller Bucuresti 2;ACS Deceneu Tulcea 1;Terenul BT;0-0;
13;Monday;2026-06-29;09:45:00;ACS Energy Basketball Academy Targu Jiu Albastru;CS Vest Activ Timisoara Galben;Terenul Mastercard;0-0;
16;Monday;2026-06-29;09:45:00;CSU Andu Sibiu Albastru;ACS Sedu Corunca;Terenul 2 Schitu;0-0;
12;Monday;2026-06-29;09:45:00;ACS Cristina Ciocan Resita;ABC Blue Sharks Constanta;Terenul FRB;0-0;
16;Monday;2026-06-29;09:45:00;CSM VSKC Miercurea Ciuc;ACS SB Horatiu Giurgiu Bucuresti 2;Terenul 1 Schitu;0-0;
18;Monday;2026-06-29;09:45:00;CSM Vaslui;CS Amicii Pitesti;Terenul Mera Resort;0-0;
11;Monday;2026-06-29;09:45:00;ACS MC Ball Mangalia;CS Miandra 2008 Buzau;Terenul Lino;0-0;
13;Monday;2026-06-29;09:45:00;ABC Hoopers Ploiesti Mov;ACS For You Buzau;Terenul Paula;0-0;
17;Monday;2026-06-29;09:45:00;CSS Medias;ACS Toyin Constanta;Terenul 1;0-0;
15;Monday;2026-06-29;10:45:00;ACS U-BT Cluj-Napoca Negru;ASBC Valbon Arad;Terenul CloudPerform;0-0;
16;Monday;2026-06-29;10:45:00;CSU Andu Sibiu Galben;ACS Madmax Iasi;Terenul BCR;0-0;
11;Monday;2026-06-29;10:45:00;ACS Jaguarii Bucuresti;CS Campina;Terenul Brenntag;0-0;
16;Monday;2026-06-29;10:45:00;CSU Andu Sibiu Negru;ACS Star 2010 Tragu Jiu;Terenul BT;0-0;
15;Monday;2026-06-29;10:45:00;ACS Synergy Baschet Iasi;ACS Wolf Pack Bucuresti;Terenul Mastercard;0-0;
17;Monday;2026-06-29;10:45:00;CSS Sfantu Gheorghe;ACS U-BT Cluj-Napoca Rosu;Terenul 2 Schitu;0-0;
13;Monday;2026-06-29;10:45:00;ACS Fireballs Sibiu Galben;CSM Constanta;Terenul FRB;0-0;
17;Monday;2026-06-29;10:45:00;CSS Ramnicu Valcea;ACS U-BT Cluj-Napoca Portocaliu;Terenul 1 Schitu;0-0;
12;Monday;2026-06-29;10:45:00;ACS Cruisers Constanta;ABC Evolution Bucuresti Otopeni;Terenul Lino;0-0;
14;Monday;2026-06-29;10:45:00;ACS Academia de Baschet Arad;ACS Dan Dacian Bucuresti Albastru;Terenul Paula;0-0;
18;Monday;2026-06-29;10:45:00;CSM Pitesti;ASBC Alpha Bucuresti Negru;Terenul 1;0-0;
11;Monday;2026-06-29;10:45:00;ACS U-BT Cluj-Napoca Gri;CSM Ramnicu Sarat;Terenul Mera Resort;0-0;
11;Monday;2026-06-29;11:45:00;ACS Energy Basketball Academy Targu Jiu Alb;ASBC Alpha Bucuresti Alb;Terenul CloudPerform;0-0;
18;Monday;2026-06-29;11:45:00;CSM Ploiesti;ACS Vikings Basketball Academy Iasi;Terenul BCR;0-0;
12;Monday;2026-06-29;11:45:00;ACS BC Lions Craiova;A Solaris Sporting Club Ploiesti 1;Terenul Brenntag;0-0;
17;Monday;2026-06-29;11:45:00;CSS Sibiu;ACS Victoria Arad;Terenul BT;0-0;
11;Monday;2026-06-29;11:45:00;ACS Kids Tampa 2015 Brasov;CS Magic Champions Bucuresti Alb;Terenul Mastercard;0-0;
18;Monday;2026-06-29;11:45:00;CSS Focsani;CS BBB Raptors Berceni Galben;Terenul 2 Schitu;0-0;
15;Monday;2026-06-29;11:45:00;ACS Templiers Academy Galati 2;ASBC Fan Baschet Otopeni Mov;Terenul FRB;0-0;
18;Monday;2026-06-29;11:45:00;CSO Voluntari;CS Axiopolis Cernavoda;Terenul 1 Schitu;0-0;
13;Monday;2026-06-29;11:45:00;ABC Hoops Brasov Rosu;ACS Gladius Lucky Dragons Targu Mures;Terenul 1;0-0;
13;Monday;2026-06-29;11:45:00;ACS First Class Voluntari;CSM Corona Brasov;Terenul Lino;0-0;
16;Monday;2026-06-29;11:45:00;CSS Tulcea;ACS Primo Megaball Pitesti Alb;Terenul Paula;0-0;
12;Monday;2026-06-29;11:45:00;ACS Dan Dacian Bucuresti Galben;ABC Hoops Brasov Negru;Terenul Mera Resort;0-0;
12;Monday;2026-06-29;12:45:00;ACS Champions Bucuresti;CSU Andu Sibiu Alb;Terenul CloudPerform;0-0;
17;Monday;2026-06-29;12:45:00;ABC Laguna Bucuresti Alb;ACS Total Sport Bucuresti;Terenul BCR;0-0;
13;Monday;2026-06-29;12:45:00;ACS Deceneu Tulcea 2;CS Vest Activ Timisoara Albastru;Terenul Brenntag;0-0;
18;Monday;2026-06-29;12:45:00;CSS Gheorgheni;CS BBB Raptors Berceni Negru;Terenul BT;0-0;
12;Monday;2026-06-29;12:45:00;ACS Champions Bucuresti;ABC Best Arad;Terenul Mastercard;0-0;
14;Monday;2026-06-29;12:45:00;ACS Academia de Baschet Ursii Borsec;ACS Dan Dacian Bucuresti Mov;Terenul 1;0-0;
15;Monday;2026-06-29;12:45:00;ACS Templiers Academy Galati 3;AS Pandurii Targoviste;Terenul Lino;0-0;
17;Monday;2026-06-29;12:45:00;CSS Nr 1 Constanta;ACS U-BT Cluj-Napoca Argintiu;Terenul Paula;0-0;
13;Monday;2026-06-29;12:45:00;ABC Hoopers Ploiesti Auriu;CS Fly OC Constanta;Terenul FRB;0-0;
13;Monday;2026-06-29;12:45:00;ACS Genial Baschet 22 Bucuresti;CSS Nr 6 Bucuresti 1;Terenul Mera Resort;0-0;
;;;;;;;;
16;Tuesday;2026-06-30;00:00:00;CS Sport Star Timisoara;ACS Energy Basketball Academy Targu Jiu Alb;;0-0;
